cat,subcat,name,website,facebook,location
Accommodation,Hotels,Norwood Hall Hotel,http://www.macdonaldhotels.co.uk/our-hotels/macdonald-norwood-hall-hotel/,https://www.facebook.com/NorwoodHallHotel/,"57.11746729999999,-2.1507402"
Accommodation,Hotels,The Marcliffe Hotel and Spa,http://www.marcliffe.com/,https://www.facebook.com/themarcliffe/,"57.1237521,-2.1572202"
Accommodation,B&B,Abbotswell Guest House,https://www.abbotswellguesthouse.co.uk/,https://www.facebook.com/211658082364070/,"57.1245512,-2.1024794"
Accommodation,B&B,Aurora Guest House,http://www.auroraguesthouse.com/index.php/en/,https://www.facebook.com/auroraguesthouse/,"57.13303999999999,-2.13236"
Accommodation,B&B,Adelphi Guest House,http://www.adelphiguesthouse.com/,https://www.facebook.com/Adelphiguesthouseaberdeen/,"57.1363443,-2.1072537"
Accommodation,Hotels,The Chester Hotel,http://www.chester-hotel.com/,https://www.facebook.com/thechesterhotel/,"57.140746,-2.1363593"
Accommodation,Hotels,Ibis Hotel,https://www.accorhotels.com/gb/hotel-5170-ibis-aberdeen-centre-quayside/index.shtml,https://www.facebook.com/ibisAberdeenCentre/,"57.1466339,-2.0943651"
Accommodation,Hotels,The Aberdeen Altens Hotel   ,https://www.aberdeenaltenshotel.co.uk/,https://www.facebook.com/aberdeenaltenshotel/,"57.1090452,-2.0900081"
Accommodation,Hotels,Mercure Aberdeen Ardoe House Hotel & Spa,https://www.accorhotels.com/gb/hotel-6626-mercure-aberdeen-ardoe-house-hotel-spa/index.shtml?,https://www.facebook.com/MercureArdoeHouse/?ref=br_rs,"57.10561939999999,-2.1751701"
Accommodation,Hotels,The Station Hotel ,http://www.stationhotelaberdeen.com/,https://www.facebook.com/Station-Hotel-Aberdeen-116705188492119/,"57.144668,-2.098601"
Accommodation,Hotels,Jurys Inn Aberdeen ,https://www.jurysinns.com/hotels/aberdeen-city?gclid=CjwKCAjw4sLVBRAlEiwASblR-6OfCB7KNkoD7jrjTLUL6w-ov0_Z6mcS_zgMxcDhHoblFQaQ1W82KxoCctcQAvD_BwE&gclsrc=aw.ds&dclid=CI_7ru70-9kCFUo44AodWOABPA,https://www.facebook.com/jurysaberdeen/,"57.144438,-2.0976521"
Accommodation,Hotels,Holiday Inn Express,https://www.ihg.com/holidayinnexpress/hotels/gb/en/aberdeen/abzex/hoteldetail,https://www.facebook.com/Holiday-Inn-Express-Aberdeen-Exhibition-Centre-163643226987135/,"57.1863258,-2.0873531"
Accommodation,Hotels,DoubleTree,http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-aberdeen-city-centre-ABZDTDI/index.html?WT.mc_id=zELWAAA0UK1WW2PSH3Nano4DGBrandx&WT.srch=1&utm_source=AdWords&utm_medium=ppc&utm_campaign=paidsearch&campaignid=105809523&adgroupid=5449036203&targetid=kwd-309619535448,https://www.facebook.com/doubletreebyhiltonaberdeen/,"57.152778,-2.082794"
Accommodation,Hotels,The Craighaar Hotel ,http://www.craighaarhotel.com/,https://www.facebook.com/CraighaarHotel/,"57.186017,-2.182055"
Culture,Sights,Winter Gardens,https://www.aberdeencity.gov.uk/parks/duthie-park,https://www.facebook.com/132668493437858/,"57.130851,-2.103484"
Culture,Theatre,His Majesty's Theatre,http://www.aberdeenperformingarts.com/,https://www.facebook.com/HMTAberdeen/,"57.1479767,-2.1049655"
Culture,Theatre,The Lemon Tree,http://www.aberdeenperformingarts.com/,https://www.facebook.com/HMTAberdeen/,"57.149702,-2.09518"
Culture,Castles,Dunnottar Castle,https://www.dunnottarcastle.co.uk/,https://www.facebook.com/DunnottarCastle/,"56.9457767,-2.1971901"
Culture,Castles,Balmoral Castle,https://www.balmoralcastle.com/,https://www.facebook.com/balmoralcastle/,"57.03966459999999,-3.2292362"
